date,WHO_region_name,threshold_val,threshold_type,need_standardize,final_contrbX,weight_type,risk_type
2020-09-15,Europe,0,wp,TRUE,0.19178064345953952,mixed,risk_contribution
2020-09-16,Africa,0,wp,TRUE,0.10206048151714818,mixed,risk_contribution
2020-09-16,America,0,wp,TRUE,0.16890776281785563,mixed,risk_contribution
2020-09-16,Asia,0,wp,TRUE,0.4419910775080373,mixed,risk_contribution
2020-09-16,Eastern Mediterranean,0,wp,TRUE,0.09041486835064312,mixed,risk_contribution
2020-09-16,Europe,0,wp,TRUE,0.19662580980631572,mixed,risk_contribution
2020-09-17,Africa,0,wp,TRUE,0.1027783579707804,mixed,risk_contribution
2020-09-17,America,0,wp,TRUE,0.16945595330040694,mixed,risk_contribution
2020-09-17,Asia,0,wp,TRUE,0.44205812890692836,mixed,risk_contribution
2020-09-17,Eastern Mediterranean,0,wp,TRUE,0.09033252784495,mixed,risk_contribution
2020-09-17,Europe,0,wp,TRUE,0.19537503197693393,mixed,risk_contribution
2020-09-18,Africa,0,wp,TRUE,0.10392439569290339,mixed,risk_contribution
2020-09-18,America,0,wp,TRUE,0.1682442295457485,mixed,risk_contribution
2020-09-18,Asia,0,wp,TRUE,0.44600583804154686,mixed,risk_contribution
2020-09-18,Eastern Mediterranean,0,wp,TRUE,0.08946390178883967,mixed,risk_contribution
2020-09-18,Europe,0,wp,TRUE,0.19236163493096153,mixed,risk_contribution
2020-09-19,Africa,0,wp,TRUE,0.1045965826708415,mixed,risk_contribution
2020-09-19,America,0,wp,TRUE,0.16484922520147605,mixed,risk_contribution
2020-09-19,Asia,0,wp,TRUE,0.45216219475922703,mixed,risk_contribution
2020-09-19,Eastern Mediterranean,0,wp,TRUE,0.08765803351814311,mixed,risk_contribution
2020-09-19,Europe,0,wp,TRUE,0.19073396385031188,mixed,risk_contribution
2020-09-20,Africa,0,wp,TRUE,0.10647470804980995,mixed,risk_contribution
2020-09-20,America,0,wp,TRUE,0.1639870629103031,mixed,risk_contribution
2020-09-20,Asia,0,wp,TRUE,0.451604998591904,mixed,risk_contribution
2020-09-20,Eastern Mediterranean,0,wp,TRUE,0.0851098464224855,mixed,risk_contribution
