date,num_edge,edge_density,CC_global,assortativity,threshold_val,threshold_type
2020-05-21,663,0.05932885906040268,0.40242733950814435,0.5907786870630587,0.5,r
2020-05-22,731,0.06719985291413863,0.4405421331761933,0.5572544124623462,0.5,r
2020-05-23,730,0.0671079242507814,0.4153790873158462,0.4743552580289918,0.5,r
2020-05-24,741,0.06720478868129874,0.4350474405528874,0.4997894227936614,0.5,r
2020-05-25,725,0.06664828093399522,0.4181311356199249,0.39903025626427596,0.5,r
2020-05-26,695,0.06303283148920732,0.41475586727812247,0.44854418738092033,0.5,r
2020-05-27,716,0.06493742064211863,0.40976951283394447,0.4691669697392373,0.5,r
2020-05-28,683,0.0611185682326622,0.3979243673585442,0.4270620455413933,0.5,r
2020-05-29,673,0.06022371364653244,0.385540423065778,0.44894673177998357,0.5,r
2020-05-30,693,0.06201342281879195,0.38976539991768416,0.4782791425643665,0.5,r
2020-05-31,719,0.0634878587196468,0.38514864684708705,0.4353669155137258,0.5,r
2020-06-01,748,0.0651795050540258,0.4369925873632192,0.5322033472114377,0.5,r
2020-06-02,721,0.06282676890902754,0.42075949367088605,0.5408427874918391,0.5,r
2020-06-03,693,0.0603868943882886,0.4370533260032985,0.5144665491151058,0.5,r
2020-06-04,675,0.05881840362495643,0.3697266550797914,0.34671410892685045,0.5,r
2020-06-05,592,0.05158591843848031,0.32435925048460046,0.10840373842233397,0.5,r
2020-06-06,601,0.05237016382014639,0.32173734046932895,0.14285846964632684,0.5,r
2020-06-07,596,0.05262693156732892,0.3041009463722397,0.19147546756968792,0.5,r
2020-06-08,565,0.0512425176854707,0.3186988171064604,0.1643181097786972,0.5,r
2020-06-09,583,0.05287502267368039,0.3251612903225806,0.15322530156989145,0.5,r
2020-06-10,594,0.05315436241610738,0.31842160793416335,0.1703865471226168,0.5,r
2020-06-11,591,0.05288590604026846,0.3184428844926611,0.2700824495297841,0.5,r
2020-06-12,590,0.053509885724650826,0.34356477561388654,0.20669444720173663,0.5,r
2020-06-13,583,0.051479028697571746,0.3513157894736842,0.16807338643695716,0.5,r
2020-06-14,562,0.05029082774049217,0.29515209125475284,0.18617192387621076,0.5,r
2020-06-15,611,0.05395143487858719,0.31046859421734796,0.1711421635788276,0.5,r
2020-06-16,605,0.05271871732310909,0.336679381650271,0.3282470916939597,0.5,r
2020-06-17,620,0.054025792959219235,0.32377740303541314,0.2903651801650173,0.5,r
2020-06-18,610,0.05315440920181248,0.3324980724749422,0.2676869193618542,0.5,r
2020-06-19,644,0.05611711397699547,0.338513155571252,0.24756960769582603,0.5,r
2020-06-20,613,0.05485458612975392,0.32723068028521873,0.267444219769076,0.5,r
2020-06-21,616,0.05439293598233996,0.33697261287934865,0.3519481736604104,0.5,r
2020-06-22,622,0.05420006971070059,0.3364281813216821,0.3815787861442681,0.5,r
2020-06-23,636,0.056158940397351,0.33935708079930493,0.4200418661971354,0.5,r
2020-06-24,605,0.05413870246085011,0.35688339992735196,0.4340189869172796,0.5,r
2020-06-25,622,0.05492273730684327,0.38489394723228143,0.46911484974818346,0.5,r
2020-06-26,618,0.05456953642384106,0.3719849919599786,0.41961599944154454,0.5,r
2020-06-27,608,0.052980132450331126,0.3804632050803138,0.4401669818335544,0.5,r
2020-06-28,621,0.053405572755417956,0.3776605421138803,0.3706519739665913,0.5,r
2020-06-29,650,0.05589955280357757,0.3632332878581173,0.31147805511744736,0.5,r
2020-06-30,661,0.057598466364586966,0.358237857027594,0.3393744805161081,0.5,r
2020-07-01,636,0.05542000697107006,0.34898499558693735,0.30242270299424306,0.5,r
2020-07-02,648,0.05721854304635761,0.35909611920746687,0.3299466987894083,0.5,r
2020-07-03,683,0.058737530099759204,0.3621646623496762,0.29806800725294597,0.5,r
2020-07-04,690,0.060125479261066574,0.35680473372781063,0.24473384766099707,0.5,r
2020-07-05,654,0.056988497734402226,0.3611111111111111,0.23391227693993866,0.5,r
2020-07-06,692,0.059511523907808735,0.32424899349643854,0.22423678693895646,0.5,r
2020-07-07,716,0.06077582548170784,0.33089500860585197,0.1864582651867042,0.5,r
2020-07-08,721,0.06041055718475073,0.3424825891028267,0.24943622765199247,0.5,r
2020-07-09,739,0.06034623550547117,0.3479095270733379,0.18146584034593977,0.5,r
2020-07-10,741,0.06050955414012739,0.3495026570377436,0.1372448483949848,0.5,r
2020-07-11,731,0.059692960966846315,0.3540398450470393,0.2511111485640545,0.5,r
2020-07-12,767,0.06344086021505377,0.35997067448680353,0.26193719902609536,0.5,r
2020-07-13,768,0.06192050310408772,0.3643569419585784,0.2865938292893778,0.5,r
2020-07-14,800,0.06368919672000636,0.3733410942956927,0.4072148890530561,0.5,r
2020-07-15,823,0.06552026112570655,0.38545493840501405,0.37218598414823517,0.5,r
2020-07-16,805,0.06328616352201258,0.36783988957902003,0.3167783471291541,0.5,r
2020-07-17,821,0.0645440251572327,0.3651470918481922,0.29536942356318746,0.5,r
2020-07-18,836,0.06572327044025157,0.36192765817943395,0.2618711829248759,0.5,r
2020-07-19,869,0.06831761006289308,0.37404952232403976,0.24710699434530836,0.5,r
2020-07-20,787,0.06187106918238994,0.36440257808626675,0.17087401460776397,0.5,r
2020-07-21,801,0.06297169811320755,0.3749561967059923,0.2492574778002801,0.5,r
2020-07-22,825,0.06485849056603774,0.3695364238410596,0.2710249625491749,0.5,r
2020-07-23,828,0.06509433962264151,0.36938862761864044,0.320413482259395,0.5,r
2020-07-24,807,0.06424647719130643,0.38138105170710285,0.36805541536609077,0.5,r
2020-07-25,786,0.06257463577740625,0.39654979276352637,0.4286038961016413,0.5,r
2020-07-26,798,0.06352997372820636,0.3792528352234823,0.37475633263157115,0.5,r
2020-07-27,770,0.061300851843006134,0.37898246480612496,0.41742259491779804,0.5,r
2020-07-28,756,0.05943396226415094,0.3727924238546199,0.3745115793195191,0.5,r
2020-07-29,749,0.06038861565750222,0.3637633316404266,0.4108616822085016,0.5,r
2020-07-30,717,0.0578085946948319,0.35053763440860214,0.37804687158309574,0.5,r
2020-07-31,690,0.05563170200757881,0.3592292399449457,0.38181710650953743,0.5,r
2020-08-01,737,0.059421107796500845,0.36844135802469136,0.3542135449441606,0.5,r
2020-08-02,734,0.059179230831250505,0.38854489164086686,0.40997811287686037,0.5,r
